Продукт,Калорийность,Белки,Жиры,Углеводы
"Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс]",386 кКал,10 г,"7,9 г",68 г
"Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс]",386 кКал,10 г,"7,9 г",68 г
"Молочный Коктейль Шоколадный (0,6 L) [Макдоналдс]",493 кКал,13 г,10 г,87 г
Морковные Палочки [Макдоналдс],34 кКал,"1,3 г","0,1 г","6,9 г"
Морковные Палочки [Макдоналдс],28 кКал,1 г,"0,1 г","5,5 г"
Морковные палочки McDonalds [Макдоналдс],27 кКал,1 г,0 г,6 г
Мороженное с Шоколадом [Макдоналдс],315 кКал,6 г,9 г,52 г
Мороженое Гуава [Макдоналдс],257 кКал,"1,9 г","4,9 г",48 г
Мороженое Карамельное [Макдоналдс],319 кКал,"5,6 г","6,9 г",59 г
Мороженое Клубничное [Макдоналдс],258 кКал,5 г,"4,9 г",48 г
Мороженое Макфлури Де Люкс Шоко-Карамель [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Мороженое Малина [Макдоналдс],209 кКал,"4,8 г","4,9 г",36 г
Мороженое Персик [Макдоналдс],260 кКал,"5,1 г","4,9 г",49 г
Мороженое Рожок [Макдоналдс],164 кКал,"3,8 г","3,6 г",29 г
Мороженое с Карамелью [Макдоналдс],319 кКал,"5,6 г","6,9 г",59 г
Мороженое с Клубникой [Макдоналдс],265 кКал,5 г,5 г,50 г
Мороженое с Шоколадом [Макдоналдс],315 кКал,6 г,9 г,52 г
Мороженое Шоколадное [Макдоналдс],310 кКал,"6,4 г",9 г,51 г
Мохито Итальано [Макдоналдс],82 кКал,0 г,0 г,20 г
Мусс с Бельгийским Шоколадом [Макдоналдс],262 кКал,"2,4 г",18 г,22 г
Мусс Шоколадный [Макдоналдс],353 кКал,"3,1 г",24 г,29 г
Наггетс Бокс [Макдоналдс],456 кКал,17 г,22 г,45 г
Нагетсы (6) [Макдоналдс],268 кКал,17 г,14 г,18 г
Нагетсы [Макдоналдс],45 кКал,"2,8 г","2,3 г","3,2 г"
Напиток Апельсиновый сок McDonalds 400 мл [Макдоналдс],190 кКал,3 г,1 г,41 г
Напиток Двойной Эспрессо McDonalds [Макдоналдс],3 кКал,"0,2 г","0,1 г","0,2 г"
Напиток Капучино [Макдоналдс],105 кКал,5 г,5 г,7 г
Напиток Капучино McDonalds 300 мл [Макдоналдс],125 кКал,6 г,7 г,9 г
Напиток Кока-Кола McDonalds 400 мл [Макдоналдс],170 кКал,0 г,0 г,42 г
Напиток Кока-Кола Лайт McDonalds 400 мл [Макдоналдс],2 кКал,"0,4 г",0 г,0 г
Напиток Кофе McDonalds 200 мл [Макдоналдс],7 кКал,"0,6 г","0,2 г","0,6 г"
Напиток Кофе Глясе [Макдоналдс],125 кКал,4 г,3 г,19 г
Напиток Кофе Глясе McDonalds [Макдоналдс],125 кКал,4 г,3 г,19 г
Напиток Кофе Латте [Макдоналдс],175 кКал,8 г,9 г,12 г
Напиток Кофе Латте McDonalds [Макдоналдс],125 кКал,6 г,7 г,10 г
Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл [Макдоналдс],110 кКал,0 г,0 г,27 г
Напиток Липтон Айс-Ти Лимон McDonalds 400 мл [Макдоналдс],110 кКал,0 г,0 г,27 г
Напиток Спрайт McDonalds 400 мл [Макдоналдс],165 кКал,"0,4 г",0 г,41 г
Напиток Фанта McDonalds 400 мл [Макдоналдс],185 кКал,"0,4 г",0 г,46 г
Напиток Чай чёрный/зелёный McDonalds [Макдоналдс],0 кКал,0 г,0 г,0 г
Облепиховый Пунш [Макдоналдс],127 кКал,"0,2 г","1,2 г",29 г
Овощной Салат [Макдоналдс],60 кКал,3 г,0 г,10 г
Овсяная Каша [Макдоналдс],154 кКал,"4,3 г","4,1 г",23 г
Овсяная Каша с Джемом [Макдоналдс],200 кКал,4 г,4 г,35 г
Овсяная Каша с Клюквой и Изюмом [Макдоналдс],217 кКал,"4,6 г","4,1 г",39 г
Овсяная Каша Стандартная [Макдоналдс],150 кКал,4 г,4 г,23 г
Омлет [Макдоналдс],305 кКал,18 г,14 г,26 г
Омлет с Беконом [Макдоналдс],341 кКал,19 г,17 г,27 г
Омлет с Ветчиной [Макдоналдс],344 кКал,24 г,15 г,27 г
Омлет Стандартный [Макдоналдс],305 кКал,18 г,14 г,26 г
Омлеттер [Макдоналдс],251 кКал,13 г,13 г,20 г
Острые Чикен Макнаггетс (6) [Макдоналдс],284 кКал,15 г,16 г,20 г
Острые Чикен Макнаггетс (9) [Макдоналдс],427 кКал,22 г,24 г,30 г
Панини Тоскана [Макдоналдс],616 кКал,31 г,34 г,46 г
Панини Тоскана без Соуса [Макдоналдс],553 кКал,30 г,28 г,45 г
Печенье с Кусочками Шоколада [Макдоналдс],345 кКал,6 г,18 г,41 г
Пирог с Вишней и Ревенем [Макдоналдс],175 кКал,2 г,"9,7 г",19 г
Пирог с Вишней и Ревенем [Макдоналдс],291 кКал,"3,4 г","16,2 г","32,3 г"
Пирог Яблочный [Макдоналдс],276 кКал,"3,1 г","14,6 г","32,2 г"
Пирожное Чёрный Лес [Макдоналдс],386 кКал,"3,8 г",26 г,35 г
Пирожок Клубника и Сливочный Сыр [Макдоналдс],258 кКал,"2,9 г",15 г,29 г
Пирожок Лесные Ягоды [Макдоналдс],285 кКал,3 г,16 г,32 г
Пирожок Малина Крем-Чиз [Макдоналдс],273 кКал,"3,2 г",15 г,32 г
Пирожок Малина Крем-Чиз [Макдоналдс],273 кКал,"3,2 г",15 г,32 г
Пирожок Маракуйя [Макдоналдс],255 кКал,2 г,13 г,32 г
Пирожок Маракуйя и Сливочный Сыр [Макдоналдс],280 кКал,"2,9 г",15 г,32 г
Пирожок по-Итальянски [Макдоналдс],163 кКал,"3,2 г","6,6 г",23 г
Пирожок Пряное Яблоко [Макдоналдс],232 кКал,"2,8 г",11 г,31 г
Пирожок с Вишней [Макдоналдс],249 кКал,"2,8 г",12 г,32 г
Пирожок с Карельской Черникой [Макдоналдс],255 кКал,"2,7 г",12 г,34 г
Пирожок с Картофелем и Грибами [Макдоналдс],130 кКал,3 г,6 г,17 г
Пирожок с Персиком [Макдоналдс],189 кКал,3 г,"7,7 г",27 г
Пирожок с Яблоком и Корицей [Макдоналдс],166 кКал,"3,3 г","7,7 г",21 г
Пирожок Черная Смородина [Макдоналдс],259 кКал,"2,9 г",12 г,34 г
Пита Грик [Макдоналдс],286 кКал,13 г,14 г,26 г
Пита Грик с Говяжьей Котлетой [Макдоналдс],287 кКал,13 г,14 г,26 г
Пита Грик с Куриной Котлетой [Макдоналдс],260 кКал,14 г,"9,4 г",29 г
Премиальный Яблочный Пирог [Макдоналдс],331 кКал,"3,1 г",9 г,57 г
Профитроли [Макдоналдс],135 кКал,"1,4 г","8,9 г",12 г
Пряный Чай Латте [Макдоналдс],305 кКал,8 г,10 г,46 г
Рич Лимониада [Макдоналдс],141 кКал,0 г,0 г,34 г
Рождественский пирожок Пряное яблоко [Макдоналдс],232 кКал,"2,8 г",11 г,31 г
Рождественский Ягодный Пунш [Макдоналдс],79 кКал,"0,2 г",0 г,20 г
Ролл с Креветками [Макдоналдс],359 кКал,11 г,11 г,52 г
Роял Бекон [Макдоналдс],548 кКал,33 г,30 г,36 г
Роял Де Люкс [Макдоналдс],570 кКал,31 г,31 г,40 г
Роял Чизбургер [Макдоналдс],514 кКал,30 г,26 г,38 г
"Рулетики с Творогом, Изюмом и Курагой (3) [Макдоналдс]",211 кКал,7 г,"9,6 г",24 г
Салат Овощной (без Заправки) [Макдоналдс],45 кКал,2 г,0 г,8 г
Салат Овощной [Макдоналдс],68 кКал,"2,5 г","3,9 г","4,4 г"
Салат Овощной McDonalds [Макдоналдс],60 кКал,2 г,3 г,5 г
Салат Цезарь (без Заправки) [Макдоналдс],283 кКал,21 г,16 г,13 г
Салат Цезарь (без Заправки) [Макдоналдс],283 кКал,21 г,16 г,13 г
Салат Цезарь [Макдоналдс],283 кКал,21 г,16 г,13 г
Салат Цезарь McDonalds [Макдоналдс],190 кКал,15 г,10 г,9 г
Салат Цезарь без Заправки [Макдоналдс],195 кКал,15 г,10 г,10 г
Салат Цезарь с Курицей [Макдоналдс],283 кКал,21 г,16 г,13 г
Салатная Заправка 1000 Островов [Макдоналдс],204 кКал,"1,1 г","19,5 г","6,6 г"
Салатная Заправка Масло и Винный Уксус [Макдоналдс],105 кКал,0 г,11 г,3 г
Салатная Заправка Масло и Винный Уксус [Макдоналдс],308 кКал,"0,1 г",30 г,"8,3 г"
Салатная Заправка Цезарь [Макдоналдс],251 кКал,"3,5 г",22 г,"7,3 г"
Санрайз [Макдоналдс],180 кКал,0 г,0 г,40 г
Сахар [Макдоналдс],20 кКал,0 г,0 г,5 г
Сахар [Макдоналдс],400 кКал,0 г,0 г,100 г
Смузи Манго-Ананас [Макдоналдс],190 кКал,2 г,1 г,42 г
Смусси Клубника-Банан [Макдоналдс],175 кКал,2 г,1 г,38 г
Снек Ролл с Омлетом и Беконом [Макдоналдс],320 кКал,16 г,16 г,27 г
Снек Ролл с Омлетом и Свиной Котлетой [Макдоналдс],435 кКал,22 г,26 г,27 г
Снэк Бокс с Крыльями [Макдоналдс],866 кКал,38 г,46 г,73 г
Сок Яблочный [Макдоналдс],135 кКал,0 г,0 г,33 г
Соус 1000 Островов [Макдоналдс],78 кКал,"0,3 г","7,4 г","2,8 г"
Соус 1000 Островов [Макдоналдс],310 кКал,1 г,29 г,12 г
Соус Барбекю [Макдоналдс],47 кКал,"0,2 г","0,3 г",11 г
Соус Барбекю [Макдоналдс],162 кКал,"0,6 г","0,9 г","36,1 г"
Соус барбекю McDonalds [Макдоналдс],48 кКал,"0,2 г","0,3 г",11 г
Соус Горчичный [Макдоналдс],62 кКал,"0,5 г","3,3 г","7,6 г"
Соус Горчичный [Макдоналдс],57 кКал,"0,6 г",3 г,7 г
Соус Карри [Макдоналдс],49 кКал,"0,2 г","0,5 г",11 г
Соус Карри [Макдоналдс],170 кКал,"0,7 г","1,7 г","37,9 г"
Соус карри McDonalds [Макдоналдс],50 кКал,0 г,0 г,12 г
Соус кетчуп McDonalds [Макдоналдс],27 кКал,0 г,"0,3 г","6,6 г"
Соус Кисло-Сладкий [Макдоналдс],47 кКал,"0,2 г","0,3 г",11 г
Соус Кисло-Сладкий [Макдоналдс],187 кКал,"0,3 г","1,4 г","43,4 г"
Соус кисло-сладкий McDonalds [Макдоналдс],49 кКал,"0,1 г","0,3 г",12 г
Соус Клюквенный [Макдоналдс],182 кКал,"0,1 г","0,7 г","42,6 г"
Соус Коктейль [Макдоналдс],329 кКал,"3,2 г",30 г,"11,6 г"
Соус Сальса [Макдоналдс],36 кКал,"0,3 г","0,2 г","7,9 г"
Соус Сладкий Чили [Макдоналдс],47 кКал,"0,1 г",0 г,11 г
Соус Сметанный [Макдоналдс],60 кКал,"0,6 г","3,4 г","6,9 г"
Соус Сырный [Макдоналдс],90 кКал,"0,5 г","9,3 г","1,5 г"
Соус сырный McDonalds [Макдоналдс],89 кКал,"0,6 г",9 г,"1,4 г"
Соус Цезарь [Макдоналдс],125 кКал,2 г,11 г,4 г
Соус Чесночный [Макдоналдс],84 кКал,"0,3 г","7,8 г","3,3 г"
Соус Чесночный [Макдоналдс],330 кКал,1 г,31 г,13 г
